username,tweet_id,date,text,tweet_length,topic,topic_labels,sentiment
railaodinga,1493495100512604160,2022-02-15 07:59:14+00:00,RT Unategea BabaTheArtist ukiwa wapi mkuu ,42,9,,neutral
williamsruto,1530198779521114112,2022-05-27 14:46:33+00:00,"Promoted our Bottom Up Economic Plan in Witu Town, Lamu County, in the company of Governors Kilifi ",99,3,,positive
williamsruto,1508048603809562626,2022-03-27 11:49:39+00:00,"Joined the people of Bamburi for Sunday service at the Jesus Celebration Centre, Mombasa County. ",97,2,family,neutral
railaodinga,1058311333454721024,2018-11-02 10:54:19+00:00,"Joined other Kenyans at ACK St. Francis Church, Karen for the memorial service of former Maendeleo ya Wanawake Chai ",116,2,,neutral
williamsruto,1538124313106202626,2022-06-18 11:39:47+00:00,"We were with , , Samuel Ole Tunai, , Soipan Tuya, Gabriel Tongoyo, Rebecca Ton ",79,0,family,neutral
williamsruto,1458802406981054466,2021-11-11 14:22:51+00:00,"I met my friend, Janet Adhiambo Ondigo, who served me tea three years ago in Muhuru Bay, Migori County. Since she c ",116,19,family,neutral
railaodinga,868833021100793856,2017-05-28 14:15:09+00:00,Asante Sana Nairobi ,20,11,,neutral
railaodinga,1526162406921084928,2022-05-16 11:27:27+00:00,History is calling us to close the gender gap. As Azimio we have today taken a key step towards that end. ,106,6,,positive
williamsruto,1539660425515921409,2022-06-22 17:23:45+00:00,"Accompanied by leaders , , , Liza Chelule, Jayne Kihara, Kuria Kimani, Charl ",77,18,,neutral
railaodinga,896735132379258882,2017-08-13 14:08:10+00:00,"RT LIVE HON. RAILA ODINGA CONDOLES WITH THE FAMILY OF MORAA NYARANGI, WHO WAS SHOT DEAD BY POLICE YESTERDAY ",108,9,family,neutral
williamsruto,1542911008250945536,2022-07-01 16:40:24+00:00,"The Bottom Up Agenda is the most emphatic plan for economic growth, agricultural transformation and the empowerment ",116,17,,positive
williamsruto,1544343008807731200,2022-07-05 15:30:40+00:00,"Isiolo town, Isiolo County. ",28,5,,neutral
williamsruto,1440717207953018889,2021-09-22 16:38:44+00:00,"Leaders present included MPs Falhada Iman, Anab Gure, Rehema Jaldesa, Naomi Waqo, Beatrice Nkatha, Rahab Mukami, Ce ",116,13,,neutral
railaodinga,1354762264755236874,2021-01-28 12:04:28+00:00,We are all beneficiaries of God s never ending mercies. As we pick up slowly from the ruins of the corona pandemi ,114,19,,positive
williamsruto,1428992909467131912,2021-08-21 08:10:33+00:00,"Golden performance by Herristone Wanyonyi Congratulations for winning Gold in the 10,000m race walk. You are a Cha ",115,6,sports,positive
railaodinga,966262481348976641,2018-02-21 10:45:02+00:00,Bidding farewell to my late brother Morgan Tsvangirai's family and thanking them for the hospitality they accorded ,115,7,family,positive
williamsruto,1517187076592218121,2022-04-21 17:02:41+00:00,Shared our vision to uplift ordinary Kenyans with the people of Sio Port in Funyula and Mihuu in Webuye East in the ,116,1,,neutral
williamsruto,1513186986357624838,2022-04-10 16:07:45+00:00,"Promoted our Uchumi Bora plan at Misri and Ndeiya Trading Centres in Limuru Constituency, Kiambu County. Also commi ",116,3,,neutral
railaodinga,885916755779928065,2017-07-14 17:39:48+00:00, ,1,0,,neutral
williamsruto,1491085088763035648,2022-02-08 16:22:42+00:00,We are working together to revolutionalise our economy and ensure that millions of Kenyans have a stable source of ,115,1,,positive
railaodinga,921059598009638912,2017-10-19 17:04:55+00:00,It makes no sense at all that some quarters outside the IEBC are adamant that the sham election should take place n ,116,16,,neutral
williamsruto,1461020119409336328,2021-11-17 17:15:15+00:00,"The residents of Chuka, Tharaka Nithi County agree that the priority for Kenya is the economic liberation of ordina ",116,13,,neutral
railaodinga,1544567330713341954,2022-07-06 06:22:02+00:00,Your ideas build a better future. Inawezekana ,46,17,,positive
railaodinga,1405389199373709313,2021-06-17 04:57:50+00:00,"We marked the day of the African child against the backdrop of increasing heartbreaking reports of missing, murdere ",116,13,violence,neutral
williamsruto,1524434808444702720,2022-05-11 17:02:35+00:00,"Held consultative meeting with UDA candidates from Embu County led by Gubernatorial aspirant , MP nom ",102,3,politics,neutral
williamsruto,1539210695446781953,2022-06-21 11:36:41+00:00,"Race Course, Nairobi County. Engaging hustlers. ",48,6,sports,neutral
williamsruto,1497257912401645571,2022-02-25 17:11:18+00:00,"We must build an economy where any Kenyan can prosper, where small businesses and farmers are our top priority, Mai ",116,1,,positive
railaodinga,1453720280824639495,2021-10-28 13:48:18+00:00,"Congratulations, Most Reverend Philip Anyolo on your appointment as the fifth Archbishop of the Catholic Archdioces ",116,5,,positive
williamsruto,1442824053396541442,2021-09-28 12:10:35+00:00,"Leaders present were MPs , korir, , , Gathoni Wa Muchomba, former St ",69,5,politics,neutral
williamsruto,1527685787940159488,2022-05-20 16:20:49+00:00," Running Mate , Speaker of the , Kuria Chama Cha Kazi , ",56,3,politics,neutral
railaodinga,942439493403103232,2017-12-17 17:00:59+00:00,I want to tell you again that I am going to carry the Bible. Nobody can stop me from carrying the Bible. ,105,16,,positive
williamsruto,1456270699694157837,2021-11-04 14:42:45+00:00,"Implementing the Bottom Up Economic Model means supporting small businesses and farmers, which will create jobs and ",116,1,,positive
williamsruto,1435204457340489728,2021-09-07 11:33:02+00:00,"This radical and progressive tack will create jobs and generate income, helping millions of ordinary people ascend ",115,1,,positive
railaodinga,1165592312296235008,2019-08-25 11:50:37+00:00,RT Thank you all for the very warm Birthday Wishes yesterday that filled my heart with great joy. I am truly grateful for havin ,128,9,,positive
railaodinga,1513217580399480845,2022-04-10 18:09:20+00:00,Remembering Mwalimu Julius Nyerere. He is dearly missed. Nyerere100 ,68,7,,neutral
railaodinga,1529787377350230016,2022-05-26 11:31:47+00:00,"Butula, Busia County wameahidi kwamba tutasonga mbele pamoja ndani ya Azimio. Asanteni sana Inawezekana ",104,11,,neutral
railaodinga,847385196534022145,2017-03-30 09:49:09+00:00,Hosted by at the first Health Investment Conference in Kisii County. LakeRegionHealth ,86,12,,neutral
williamsruto,1512072061929230352,2022-04-07 14:17:27+00:00,The youth movement got the nod from the team to continue with their empowerment and creative economy message. ,110,16,,positive
williamsruto,1441317629713518599,2021-09-24 08:24:35+00:00,"Launch of an empowerment programme for women groups from Kitui West at Kabati, Kitui County. ",93,9,,neutral
williamsruto,1539198802304835584,2022-06-21 10:49:26+00:00,Ongoing Nairobi County Bottom Up Economic forum. ,49,18,,neutral
railaodinga,983662672146239488,2018-04-10 11:07:11+00:00,Former Kiambu Governor paid me a courtesy call at my office. We discussed a wide range of issues relatin ,105,18,,neutral
williamsruto,1504443488284332035,2022-03-17 13:04:13+00:00,"At Viwandani and Uhuru Market in Bahati, Makadara Constituency, Nairobi County with Kenya Kwanza team Party leader ",115,3,politics,neutral
railaodinga,958339813589028864,2018-01-30 14:03:11+00:00,"Most of all I thank the good Lord, my family and all those who have undertaken this journey with us. We have arrive ",116,0,family,positive
